dish,1_star,2_star,3_star,4_star,5_star,average_star
grois,0,0,1,3,5,4.444444444444445
chibatta,0,0,2,3,3,4.125
grais,0,1,1,2,5,4.222222222222222
shimeji,0,0,0,1,5,4.833333333333333
crablegs,0,1,0,0,0,2.0
fiji,1,3,1,9,4,3.6666666666666665
haddock,0,0,3,4,0,3.5714285714285716
barbs,0,0,0,1,0,4.0
sunnyside,2,1,1,3,2,3.2222222222222223
salisbury steak,1,1,3,11,1,3.588235294117647
hasbrowns,2,0,1,5,1,3.3333333333333335
mcds,1,1,0,2,0,2.75
coca cola,1,0,1,5,5,4.083333333333333
aperol,1,0,1,6,3,3.909090909090909
torchon,0,0,0,10,15,4.6
bluecheese,0,0,0,1,2,4.666666666666667
unfiltered,0,0,2,1,2,4.0
pinenuts,0,0,3,1,2,3.8333333333333335
vienna,0,0,1,2,2,4.2
tatter,2,1,2,1,1,2.7142857142857144
blizzard,0,0,1,3,2,4.166666666666667
dawg,0,1,0,3,3,4.142857142857143
profiteroles,2,1,3,8,9,3.9130434782608696
milanesa,0,0,1,1,2,4.25
flapjacks,1,3,7,19,33,4.26984126984127
houseagogo,0,0,1,1,1,4.0
biscuts,0,0,2,4,1,3.857142857142857
breadlike,1,0,0,0,0,1.0
fritata,1,1,2,3,1,3.25
bokchoy,0,1,0,0,2,4.0
barbacoa,3,0,1,0,0,1.5
invitations,1,0,0,0,3,4.0
fastfood,0,0,0,1,2,4.666666666666667
herring,0,1,0,2,0,3.3333333333333335
freeds,3,4,3,9,12,3.7419354838709675
redbulls,0,1,0,1,0,3.0
rocher,0,0,1,2,2,4.2
cointreau,0,0,3,3,1,3.7142857142857144
weisse,0,0,1,4,1,4.0
chimichanga,1,3,3,3,4,3.4285714285714284
malai,0,0,1,0,2,4.333333333333333
lomein,0,0,0,1,0,4.0
taffy,0,0,0,2,1,4.333333333333333
sopes,1,1,1,1,3,3.5714285714285716
tritip,0,0,0,0,3,5.0
robata,0,0,0,0,1,5.0
beetroot,0,0,0,3,0,4.0
hotdogs,2,2,2,7,11,3.9583333333333335
gingerale,0,0,0,4,0,4.0
dispensers,1,0,3,6,1,3.5454545454545454
chiken,0,1,2,1,0,3.0
nathans,0,0,0,1,1,4.5
painkiller,0,0,4,4,1,3.6666666666666665
hersheys,0,0,1,0,0,3.0
paneer,0,0,0,1,0,4.0
plantanos,0,0,0,1,0,4.0
frappucino,0,0,0,0,1,5.0
snowcrab,0,0,0,0,1,5.0
eggplants,0,0,0,1,0,4.0
evian,0,0,0,0,2,5.0
sitdown,0,1,2,0,0,2.6666666666666665
gummies,0,1,1,2,1,3.6
blizzards,0,0,1,1,0,3.5
sauerbraten,0,0,0,1,0,4.0
biloxi,0,4,5,14,16,4.076923076923077
foiegras,0,0,0,0,1,5.0
